t,x,y,z
0.181905,0.025330,-0.026855,-0.994598
0.191922,0.025238,-0.026886,-0.994400
0.192001,0.025085,-0.026886,-0.994232
0.192016,0.024902,-0.026855,-0.994125
0.192028,0.024704,-0.026825,-0.994080
0.192039,0.024521,-0.026825,-0.994125
0.192050,0.024368,-0.026855,-0.994202
0.192062,0.024231,-0.026917,-0.994308
0.192072,0.024109,-0.027008,-0.994400
0.201849,0.024002,-0.027100,-0.994522
0.201912,0.023880,-0.027176,-0.994659
0.201939,0.023773,-0.027237,-0.994812
0.201952,0.023666,-0.027298,-0.994965
0.201962,0.023575,-0.027359,-0.995132
0.201972,0.023468,-0.027451,-0.995285
0.201982,0.023346,-0.027588,-0.995392
0.201995,0.023193,-0.027740,-0.995453
0.211838,0.023041,-0.027924,-0.995453
0.211918,0.022873,-0.028091,-0.995377
0.211934,0.022766,-0.028229,-0.995239
0.211961,0.022751,-0.028275,-0.995071
0.211972,0.022827,-0.028214,-0.994888
0.211983,0.022995,-0.028046,-0.994736
0.211994,0.023239,-0.027786,-0.994614
0.212005,0.023514,-0.027466,-0.994553
0.221998,0.023804,-0.027145,-0.994537
0.222136,0.024109,-0.026855,-0.994553
0.222174,0.024384,-0.026596,-0.994614
0.222207,0.024612,-0.026382,-0.994705
0.222237,0.024780,-0.026199,-0.994843
0.222266,0.024857,-0.026062,-0.995026
0.222294,0.024887,-0.025955,-0.995255
0.222332,0.024872,-0.025864,-0.995483
0.231991,0.024826,-0.025803,-0.995667
0.232119,0.024750,-0.025787,-0.995773
0.232152,0.024643,-0.025818,-0.995819
0.232178,0.024521,-0.025894,-0.995804
0.232602,0.024368,-0.026031,-0.995728
0.232642,0.024216,-0.026199,-0.995621
0.232671,0.024033,-0.026398,-0.995483
0.232697,0.023849,-0.026611,-0.995346
0.243785,0.023697,-0.026810,-0.995209
0.243921,0.023544,-0.026978,-0.995087
0.243950,0.023407,-0.027130,-0.994995
0.243977,0.023285,-0.027267,-0.994919
0.244004,0.023178,-0.027374,-0.994873
0.244028,0.023087,-0.027481,-0.994843
0.244052,0.023056,-0.027573,-0.994797
0.244075,0.023071,-0.027679,-0.994720
0.252051,0.023163,-0.027786,-0.994598
0.252177,0.023300,-0.027893,-0.994431
0.252216,0.023483,-0.027954,-0.994232
0.252243,0.023697,-0.027985,-0.994049
0.252269,0.023895,-0.027939,-0.993912
0.252295,0.024063,-0.027847,-0.993820
0.252363,0.024185,-0.027710,-0.993774
0.252390,0.024246,-0.027557,-0.993774
0.262723,0.024292,-0.027390,-0.993805
0.262858,0.024353,-0.027222,-0.993866
0.262885,0.024460,-0.027039,-0.993958
0.262898,0.024628,-0.026871,-0.994064
0.262909,0.024857,-0.026672,-0.994156
0.262920,0.025116,-0.026474,-0.994202
0.262930,0.025345,-0.026291,-0.994217
0.262940,0.025482,-0.026138,-0.994202
0.272055,0.025513,-0.026062,-0.994141
0.272128,0.025467,-0.026062,-0.994019
0.272144,0.025345,-0.026169,-0.993851
0.272155,0.025146,-0.026337,-0.993637
0.272166,0.024933,-0.026550,-0.993408
0.272176,0.024719,-0.026794,-0.993179
0.272213,0.024521,-0.027023,-0.993011
0.272224,0.024368,-0.027222,-0.992889
0.282456,0.024246,-0.027390,-0.992859
0.282610,0.024155,-0.027496,-0.992905
0.282641,0.024063,-0.027573,-0.993042
0.282674,0.023987,-0.027618,-0.993256
0.282701,0.023911,-0.027664,-0.993500
0.282726,0.023849,-0.027725,-0.993759
0.282752,0.023804,-0.027802,-0.994003
0.282776,0.023773,-0.027893,-0.994217
0.292502,0.023743,-0.027985,-0.994431
0.292787,0.023682,-0.028061,-0.994629
0.292824,0.023621,-0.028061,-0.994812
0.292852,0.023529,-0.027969,-0.994995
0.292877,0.023407,-0.027786,-0.995163
0.292901,0.023254,-0.027512,-0.995316
0.292927,0.023102,-0.027130,-0.995422
0.292951,0.022964,-0.026703,-0.995499
0.303843,0.022858,-0.026245,-0.995499
0.304172,0.022781,-0.025833,-0.995468
0.304211,0.022705,-0.025482,-0.995407
0.304239,0.022644,-0.025208,-0.995300
0.304280,0.022598,-0.025055,-0.995193
0.304306,0.022537,-0.025024,-0.995056
0.304330,0.022507,-0.025116,-0.994949
0.304363,0.022507,-0.025299,-0.994858
0.312248,0.022568,-0.025543,-0.994812
0.312357,0.022675,-0.025879,-0.994827
0.312401,0.022827,-0.026230,-0.994904
0.312433,0.023010,-0.026611,-0.995026
0.312458,0.023224,-0.026962,-0.995193
0.312491,0.023422,-0.027298,-0.995392
0.312530,0.023605,-0.027573,-0.995621
0.312556,0.023727,-0.027786,-0.995865
0.322265,0.023804,-0.027924,-0.996078
0.322368,0.023834,-0.027985,-0.996277
0.322408,0.023804,-0.028000,-0.996414
0.322433,0.023743,-0.027985,-0.996506
0.322506,0.023666,-0.027924,-0.996552
0.322531,0.023590,-0.027817,-0.996536
0.322556,0.023499,-0.027664,-0.996445
0.322920,0.023422,-0.027451,-0.996307
0.343465,0.023346,-0.027161,-0.996124
0.344081,0.023270,-0.026825,-0.995941
0.344124,0.023239,-0.026459,-0.995728
0.344170,0.023239,-0.026138,-0.995544
0.344199,0.023285,-0.025879,-0.995377
0.344226,0.023376,-0.025711,-0.995255
0.344249,0.023514,-0.025620,-0.995178
0.344318,0.023697,-0.025604,-0.995148
0.344345,0.023911,-0.025665,-0.995148
0.344369,0.024170,-0.025772,-0.995178
0.344393,0.024445,-0.025909,-0.995209
0.344417,0.024750,-0.026077,-0.995224
0.344442,0.025024,-0.026260,-0.995209
0.344474,0.025253,-0.026459,-0.995193
0.344502,0.025421,-0.026688,-0.995178
0.344529,0.025513,-0.026917,-0.995193
0.352278,0.025528,-0.027130,-0.995209
0.352356,0.025452,-0.027328,-0.995209
0.352372,0.025284,-0.027496,-0.995209
0.352385,0.025070,-0.027618,-0.995178
0.352396,0.024826,-0.027664,-0.995163
0.352407,0.024628,-0.027618,-0.995102
0.352416,0.024475,-0.027512,-0.995026
0.352427,0.024414,-0.027344,-0.994888
0.362262,0.024429,-0.027161,-0.994736
0.362323,0.024490,-0.026993,-0.994537
0.362335,0.024536,-0.026840,-0.994308
0.362346,0.024567,-0.026718,-0.994049
0.362356,0.024551,-0.026627,-0.993805
0.362365,0.024506,-0.026535,-0.993622
0.362374,0.024460,-0.026459,-0.993515
0.362384,0.024445,-0.026398,-0.993484
0.372320,0.024445,-0.026367,-0.993530
0.372389,0.024475,-0.026352,-0.993591
0.372404,0.024506,-0.026367,-0.993652
0.372428,0.024551,-0.026443,-0.993698
0.372440,0.024582,-0.026566,-0.993713
0.372450,0.024612,-0.026718,-0.993683
0.372460,0.024658,-0.026917,-0.993607
0.372474,0.024719,-0.027100,-0.993515
0.382511,0.024765,-0.027267,-0.993439
0.382652,0.024780,-0.027390,-0.993408
0.382688,0.024780,-0.027496,-0.993439
0.382719,0.024765,-0.027573,-0.993546
0.382860,0.024734,-0.027634,-0.993729
0.382899,0.024673,-0.027695,-0.993988
0.382936,0.024628,-0.027740,-0.994278
0.382975,0.024597,-0.027771,-0.994598
0.393421,0.024582,-0.027771,-0.994904
0.393771,0.024612,-0.027725,-0.995163
0.394073,0.024673,-0.027649,-0.995331
0.396431,0.024750,-0.027542,-0.995422
0.396474,0.024872,-0.027420,-0.995438
0.396501,0.025009,-0.027313,-0.995346
0.396525,0.025116,-0.027237,-0.995193
0.396551,0.025192,-0.027206,-0.995010
0.404343,0.025223,-0.027237,-0.994827
0.404491,0.025223,-0.027313,-0.994659
0.404544,0.025192,-0.027451,-0.994537
0.404648,0.025146,-0.027634,-0.994476
0.404674,0.025085,-0.027832,-0.994461
0.404698,0.025024,-0.028015,-0.994476
0.404724,0.024933,-0.028122,-0.994522
0.404747,0.024780,-0.028137,-0.994583
0.412586,0.024567,-0.028091,-0.994659
0.412712,0.024292,-0.027969,-0.994720
0.412774,0.023972,-0.027832,-0.994751
0.412807,0.023666,-0.027679,-0.994751
0.412838,0.023407,-0.027542,-0.994690
0.412868,0.023239,-0.027405,-0.994598
0.412899,0.023163,-0.027267,-0.994461
0.412930,0.023209,-0.027161,-0.994278
0.422694,0.023346,-0.027084,-0.994080
0.423150,0.023529,-0.027039,-0.993881
0.423207,0.023727,-0.027023,-0.993683
0.423233,0.023926,-0.027023,-0.993500
0.423258,0.024094,-0.027023,-0.993378
0.423484,0.024231,-0.027039,-0.993301
0.423522,0.024323,-0.027008,-0.993332
0.423550,0.024399,-0.026947,-0.993439
0.432862,0.024460,-0.026855,-0.993652
0.432984,0.024521,-0.026733,-0.993912
0.433014,0.024567,-0.026596,-0.994202
0.433040,0.024567,-0.026443,-0.994507
0.433065,0.024521,-0.026306,-0.994781
0.433091,0.024429,-0.026184,-0.994995
0.433115,0.024277,-0.026093,-0.995163
0.433138,0.024094,-0.026047,-0.995255
0.442643,0.023880,-0.026062,-0.995300
0.442763,0.023682,-0.026093,-0.995300
0.442794,0.023499,-0.026138,-0.995285
0.442821,0.023361,-0.026184,-0.995285
0.442846,0.023270,-0.026215,-0.995316
0.442871,0.023239,-0.026260,-0.995407
0.442897,0.023270,-0.026337,-0.995529
0.444629,0.023361,-0.026428,-0.995667
0.453827,0.023514,-0.026566,-0.995789
0.453953,0.023666,-0.026733,-0.995865
0.454005,0.023819,-0.026901,-0.995880
0.454031,0.023941,-0.027039,-0.995819
0.454056,0.024033,-0.027130,-0.995712
0.454089,0.024078,-0.027176,-0.995575
0.454115,0.024078,-0.027161,-0.995407
0.454139,0.024048,-0.027130,-0.995239
0.462981,0.023972,-0.027069,-0.995071
0.463089,0.023865,-0.027008,-0.994904
0.463118,0.023758,-0.026962,-0.994736
0.463151,0.023682,-0.026947,-0.994614
0.463177,0.023636,-0.026978,-0.994537
0.463226,0.023621,-0.027039,-0.994522
0.463280,0.023621,-0.027115,-0.994568
0.463310,0.023651,-0.027145,-0.994644
0.472753,0.023743,-0.027130,-0.994751
0.472868,0.023865,-0.027084,-0.994827
0.472901,0.024002,-0.027008,-0.994873
0.472933,0.024155,-0.026917,-0.994888
0.473781,0.024338,-0.026825,-0.994873
0.473813,0.024490,-0.026749,-0.994843
0.473826,0.024643,-0.026688,-0.994797
0.473837,0.024780,-0.026672,-0.994736
0.482773,0.024902,-0.026718,-0.994675
0.482889,0.025009,-0.026779,-0.994598
0.482918,0.025070,-0.026855,-0.994522
0.482968,0.025116,-0.026932,-0.994476
0.482994,0.025116,-0.027023,-0.994431
0.483019,0.025070,-0.027145,-0.994400
0.483045,0.024979,-0.027267,-0.994385
0.483069,0.024872,-0.027390,-0.994400
0.492773,0.024750,-0.027527,-0.994476
0.493310,0.024643,-0.027618,-0.994583
0.493363,0.024551,-0.027679,-0.994705
0.493393,0.024475,-0.027710,-0.994812
0.493550,0.024429,-0.027695,-0.994888
0.493899,0.024399,-0.027649,-0.994904
0.493938,0.024384,-0.027588,-0.994873
0.493965,0.024338,-0.027496,-0.994843
0.503871,0.024292,-0.027420,-0.994827
0.504006,0.024231,-0.027374,-0.994843
0.504200,0.024155,-0.027374,-0.994919
0.504231,0.024048,-0.027390,-0.995041
0.504260,0.023956,-0.027420,-0.995209
0.504286,0.023865,-0.027451,-0.995361
0.504347,0.023788,-0.027466,-0.995483
0.504373,0.023743,-0.027451,-0.995544
0.513649,0.023727,-0.027405,-0.995514
0.513776,0.023743,-0.027344,-0.995422
0.513807,0.023804,-0.027313,-0.995285
0.513832,0.023880,-0.027283,-0.995117
0.513856,0.023941,-0.027283,-0.994934
0.513888,0.023987,-0.027313,-0.994766
0.513914,0.024002,-0.027328,-0.994629
0.513959,0.023972,-0.027344,-0.994522
0.522782,0.023926,-0.027313,-0.994476
0.522848,0.023895,-0.027237,-0.994492
0.522863,0.023880,-0.027130,-0.994583
0.522875,0.023880,-0.027008,-0.994705
0.522886,0.023895,-0.026932,-0.994858
0.522897,0.023926,-0.026901,-0.995010
0.522907,0.023941,-0.026932,-0.995102
0.522918,0.023941,-0.027054,-0.995163
0.532784,0.023941,-0.027237,-0.995148
0.532849,0.023941,-0.027405,-0.995087
0.532881,0.023926,-0.027527,-0.994965
0.532904,0.023926,-0.027573,-0.994797
0.532917,0.023926,-0.027512,-0.994629
0.532939,0.023926,-0.027374,-0.994461
0.532966,0.023911,-0.027176,-0.994308
0.532980,0.023880,-0.026978,-0.994156
0.543843,0.023849,-0.026810,-0.994019
0.543977,0.023834,-0.026688,-0.993927
0.544008,0.023834,-0.026642,-0.993866
0.544230,0.023880,-0.026672,-0.993866
0.545486,0.023972,-0.026733,-0.993927
0.546023,0.024109,-0.026810,-0.994003
0.546065,0.024261,-0.026886,-0.994110
0.546092,0.024429,-0.026962,-0.994186
0.553949,0.024551,-0.027008,-0.994263
0.554167,0.024612,-0.027054,-0.994308
0.554202,0.024612,-0.027084,-0.994324
0.554248,0.024567,-0.027100,-0.994308
0.554275,0.024490,-0.027115,-0.994324
0.554299,0.024445,-0.027100,-0.994370
0.554325,0.024399,-0.027084,-0.994476
0.554349,0.024384,-0.027023,-0.994675
0.563237,0.024338,-0.026947,-0.994949
0.563356,0.024292,-0.026840,-0.995270
0.563386,0.024216,-0.026718,-0.995575
0.563413,0.024109,-0.026611,-0.995834
0.563650,0.023972,-0.026550,-0.996017
0.563674,0.023834,-0.026520,-0.996063
0.563706,0.023727,-0.026505,-0.995972
0.563732,0.023682,-0.026505,-0.995773
0.573408,0.023666,-0.026489,-0.995499
0.573817,0.023682,-0.026474,-0.995193
0.573872,0.023727,-0.026459,-0.994934
0.573898,0.023773,-0.026459,-0.994720
0.573925,0.023804,-0.026474,-0.994537
0.573950,0.023819,-0.026505,-0.994400
0.573977,0.023819,-0.026535,-0.994293
0.574001,0.023819,-0.026581,-0.994232
0.583028,0.023849,-0.026657,-0.994232
0.583093,0.023926,-0.026733,-0.994293
0.583128,0.024063,-0.026825,-0.994431
0.583149,0.024261,-0.026886,-0.994629
0.583161,0.024506,-0.026901,-0.994843
0.583172,0.024750,-0.026886,-0.995056
0.583182,0.024963,-0.026840,-0.995270
0.583192,0.025131,-0.026794,-0.995438
0.593071,0.025223,-0.026779,-0.995544
0.593406,0.025238,-0.026810,-0.995590
0.594047,0.025177,-0.026871,-0.995590
0.594115,0.025055,-0.026978,-0.995560
0.594143,0.024902,-0.027069,-0.995544
0.594170,0.024734,-0.027115,-0.995544
0.594525,0.024567,-0.027115,-0.995560
0.594858,0.024384,-0.027069,-0.995590
0.603801,0.024231,-0.026978,-0.995636
0.603919,0.024109,-0.026886,-0.995697
0.603967,0.024017,-0.026810,-0.995743
0.603995,0.023941,-0.026764,-0.995773
0.604019,0.023895,-0.026779,-0.995804
0.604044,0.023849,-0.026840,-0.995834
0.604068,0.023788,-0.026932,-0.995834
0.604092,0.023727,-0.027008,-0.995819
0.613124,0.023666,-0.027069,-0.995743
0.613235,0.023621,-0.027069,-0.995590
0.613266,0.023636,-0.027023,-0.995361
0.613292,0.023682,-0.026947,-0.995087
0.613316,0.023758,-0.026886,-0.994797
0.613341,0.023880,-0.026855,-0.994522
0.613366,0.024017,-0.026871,-0.994293
0.613390,0.024170,-0.026917,-0.994141
0.623148,0.024307,-0.027008,-0.994080
0.623254,0.024429,-0.027084,-0.994080
0.623283,0.024490,-0.027130,-0.994141
0.623311,0.024490,-0.027161,-0.994232
0.623337,0.024445,-0.027130,-0.994308
0.623362,0.024368,-0.027084,-0.994339
0.623523,0.024277,-0.027039,-0.994354
0.623550,0.024200,-0.026993,-0.994324
0.633231,0.024155,-0.026978,-0.994293
0.633347,0.024170,-0.027008,-0.994247
0.633377,0.024216,-0.027084,-0.994202
0.633402,0.024307,-0.027191,-0.994156
0.633426,0.024384,-0.027298,-0.994080
0.633452,0.024429,-0.027390,-0.993988
0.633478,0.024445,-0.027466,-0.993896
0.633502,0.024399,-0.027496,-0.993820
0.643358,0.024323,-0.027451,-0.993744
0.643484,0.024246,-0.027359,-0.993698
0.643512,0.024185,-0.027222,-0.993668
0.643536,0.024170,-0.027069,-0.993668
0.643659,0.024185,-0.026932,-0.993713
0.643735,0.024200,-0.026810,-0.993774
0.643764,0.024185,-0.026749,-0.993896
0.643790,0.024170,-0.026718,-0.994049
0.653181,0.024124,-0.026718,-0.994232
0.653314,0.024063,-0.026764,-0.994431
0.653335,0.024033,-0.026825,-0.994629
0.653348,0.024017,-0.026901,-0.994797
0.653359,0.024063,-0.026993,-0.994934
0.653371,0.024155,-0.027084,-0.995041
0.653383,0.024292,-0.027161,-0.995102
0.653393,0.024445,-0.027237,-0.995132
0.663222,0.024612,-0.027283,-0.995132
0.663297,0.024734,-0.027313,-0.995087
0.663313,0.024826,-0.027344,-0.995041
0.663326,0.024857,-0.027390,-0.994965
0.663367,0.024857,-0.027435,-0.994873
0.663391,0.024826,-0.027481,-0.994766
0.663405,0.024765,-0.027512,-0.994614
0.663416,0.024689,-0.027496,-0.994461
0.673250,0.024597,-0.027451,-0.994308
0.673369,0.024536,-0.027359,-0.994186
0.673413,0.024475,-0.027237,-0.994125
0.673428,0.024445,-0.027100,-0.994110
0.673440,0.024414,-0.026962,-0.994171
0.673451,0.024399,-0.026871,-0.994247
0.673461,0.024414,-0.026825,-0.994339
0.673471,0.024460,-0.026810,-0.994385
0.683314,0.024506,-0.026840,-0.994354
0.683420,0.024551,-0.026901,-0.994247
0.683437,0.024582,-0.026978,-0.994095
0.683449,0.024628,-0.027100,-0.993912
0.683461,0.024673,-0.027222,-0.993744
0.683472,0.024719,-0.027328,-0.993622
0.683482,0.024780,-0.027390,-0.993591
0.683492,0.024811,-0.027420,-0.993637
0.693468,0.024841,-0.027435,-0.993759
0.693764,0.024841,-0.027435,-0.993927
0.693807,0.024780,-0.027451,-0.994110
0.693837,0.024673,-0.027466,-0.994293
0.693863,0.024521,-0.027496,-0.994476
0.694026,0.024338,-0.027512,-0.994659
0.694065,0.024155,-0.027496,-0.994797
0.694092,0.023956,-0.027451,-0.994904
0.704186,0.023788,-0.027344,-0.994949
0.704302,0.023651,-0.027191,-0.994934
0.704334,0.023544,-0.027023,-0.994904
0.704818,0.023468,-0.026840,-0.994843
0.704856,0.023422,-0.026672,-0.994781
0.704883,0.023422,-0.026550,-0.994736
0.704910,0.023468,-0.026474,-0.994690
0.704934,0.023529,-0.026459,-0.994690
0.713434,0.023621,-0.026459,-0.994705
0.713560,0.023697,-0.026474,-0.994736
0.713591,0.023773,-0.026474,-0.994766
0.713617,0.023834,-0.026459,-0.994797
0.713641,0.023849,-0.026443,-0.994858
0.713665,0.023834,-0.026428,-0.994904
0.713689,0.023819,-0.026443,-0.994934
0.713721,0.023788,-0.026489,-0.994904
0.723611,0.023758,-0.026566,-0.994827
0.723750,0.023758,-0.026672,-0.994705
0.723780,0.023819,-0.026764,-0.994537
