t,x,y,z
0.186969,0.020996,-0.029373,-0.997192
0.187098,0.020523,-0.028809,-0.996826
0.187129,0.020096,-0.028152,-0.996368
0.187155,0.019791,-0.027451,-0.995834
0.187179,0.019623,-0.026749,-0.995270
0.187203,0.019608,-0.026062,-0.994736
0.196517,0.019760,-0.025436,-0.994263
0.196640,0.020081,-0.024872,-0.993896
0.196697,0.020554,-0.024384,-0.993652
0.196742,0.021133,-0.023956,-0.993561
0.196773,0.021774,-0.023621,-0.993591
0.196804,0.022415,-0.023376,-0.993729
0.196870,0.023010,-0.023178,-0.993942
0.196909,0.023529,-0.023041,-0.994202
0.206517,0.023926,-0.022919,-0.994461
0.206623,0.024200,-0.022842,-0.994690
0.206652,0.024368,-0.022812,-0.994858
0.206690,0.024399,-0.022903,-0.994965
0.206715,0.024323,-0.023132,-0.994965
0.206739,0.024139,-0.023514,-0.994858
0.206770,0.023880,-0.024002,-0.994644
0.206795,0.023544,-0.024597,-0.994308
0.216617,0.023178,-0.025223,-0.993896
0.216804,0.022827,-0.025833,-0.993439
0.216904,0.022522,-0.026367,-0.992981
0.216976,0.022278,-0.026779,-0.992538
0.217032,0.022141,-0.027069,-0.992157
0.217084,0.022095,-0.027252,-0.991852
0.217137,0.022141,-0.027390,-0.991669
0.217188,0.022263,-0.027512,-0.991592
0.226660,0.022446,-0.027649,-0.991653
0.226788,0.022659,-0.027802,-0.991806
0.226821,0.022888,-0.027954,-0.992050
0.226851,0.023102,-0.028076,-0.992355
0.226880,0.023285,-0.028152,-0.992722
0.226908,0.023407,-0.028168,-0.993088
0.226936,0.023453,-0.028152,-0.993454
0.226963,0.023453,-0.028091,-0.993774
0.236535,0.023376,-0.028000,-0.994049
0.236674,0.023254,-0.027863,-0.994278
0.236703,0.023102,-0.027695,-0.994446
0.236748,0.022888,-0.027451,-0.994537
0.236773,0.022675,-0.027130,-0.994583
0.236802,0.022461,-0.026733,-0.994568
0.236830,0.022278,-0.026245,-0.994553
0.236854,0.022141,-0.025696,-0.994522
0.246483,0.022064,-0.025085,-0.994507
0.246578,0.022034,-0.024414,-0.994507
